starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:18:54 2023	1700738334	0	247	247	245
Thu Nov 23 12:18:55 2023	1700738335	1	254	255	254
Thu Nov 23 12:18:55 2023	1700738335	2	9973	9975	9973
Thu Nov 23 12:18:55 2023	1700738335	1	9973	9975	9973
Thu Nov 23 12:18:55 2023	1700738335	2	9973	9975	9973
Thu Nov 23 12:18:55 2023	1700738335	2	9973	9975	9973
Thu Nov 23 12:18:55 2023	1700738335	1	9973	9975	9973
Thu Nov 23 12:18:55 2023	1700738335	1	9973	9975	9973
Thu Nov 23 12:18:55 2023	1700738335	2	9973	9975	9973
Thu Nov 23 12:18:55 2023	1700738335	1	9973	9975	9973
Thu Nov 23 12:18:55 2023	1700738335	2	9973	9975	9973
Thu Nov 23 12:18:55 2023	1700738335	1	9974	9975	9973
Thu Nov 23 12:18:55 2023	1700738335	2	9973	9975	9973
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9975	9973
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9975	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9975	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9975	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9975	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9976	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9976	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9976	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9976	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9976	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9976	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9976	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9976	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9976	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9976	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9976	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9974	9976	9974
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9976	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9976	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9976	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9976	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9976	9975
Thu Nov 23 12:18:55 2023	1700738335	1	9975	9976	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9977	9975
Thu Nov 23 12:18:55 2023	1700738335	1	9975	9977	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9977	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9977	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9977	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9977	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9977	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9977	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9977	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9977	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9977	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9975	9977	9975
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9977	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9977	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9977	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9977	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9978	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9978	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9978	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9978	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9978	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9978	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9978	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9978	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9978	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9978	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9976	9978	9976
Thu Nov 23 12:18:55 2023	1700738335	2	9977	9978	9977
Thu Nov 23 12:18:55 2023	1700738335	2	9977	9978	9977
Thu Nov 23 12:18:55 2023	1700738335	0	9982	9982	9982
Thu Nov 23 12:19:05 2023	1700738345	0	10066	10066	10066
Thu Nov 23 12:19:05 2023	1700738345	0	10066	10066	10066
Thu Nov 23 12:19:05 2023	1700738345	0	10066	10066	10066
Thu Nov 23 12:19:05 2023	1700738345	0	10066	10066	10066
Thu Nov 23 12:19:05 2023	1700738345	0	10066	10066	10066
Thu Nov 23 12:19:05 2023	1700738345	0	10066	10066	10066
Thu Nov 23 12:19:05 2023	1700738345	0	10066	10066	10066
Thu Nov 23 12:19:05 2023	1700738345	0	10066	10066	10066
Thu Nov 23 12:19:05 2023	1700738345	0	10066	10066	10066
Thu Nov 23 12:19:05 2023	1700738345	0	10066	10066	10066
Thu Nov 23 12:19:05 2023	1700738345	0	10067	10067	10066
Thu Nov 23 12:19:05 2023	1700738345	0	10067	10067	10067
Thu Nov 23 12:19:05 2023	1700738345	0	10067	10067	10067
Thu Nov 23 12:19:05 2023	1700738345	0	10067	10067	10067
Thu Nov 23 12:19:05 2023	1700738345	0	10067	10067	10067
Thu Nov 23 12:19:05 2023	1700738345	0	10067	10067	10067
Thu Nov 23 12:19:05 2023	1700738345	0	10067	10067	10067
