starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:17:31 2023	1700738251	0	242	242	242
Thu Nov 23 12:17:31 2023	1700738251	0	394	394	394
Thu Nov 23 12:17:31 2023	1700738251	0	394	394	394
Thu Nov 23 12:18:10 2023	1700738290	0	2521	2521	2521
Thu Nov 23 12:18:10 2023	1700738290	0	2522	2522	2521
Thu Nov 23 12:18:10 2023	1700738290	0	2522	2522	2522
Thu Nov 23 12:18:10 2023	1700738290	0	2522	2522	2522
Thu Nov 23 12:18:10 2023	1700738290	0	2522	2522	2522
Thu Nov 23 12:18:10 2023	1700738290	0	2522	2522	2522
Thu Nov 23 12:18:10 2023	1700738290	0	2522	2522	2522
Thu Nov 23 12:18:10 2023	1700738290	0	2522	2523	2522
Thu Nov 23 12:18:10 2023	1700738290	0	2523	2523	2523
Thu Nov 23 12:18:10 2023	1700738290	0	2523	2523	2523
Thu Nov 23 12:18:10 2023	1700738290	0	2523	2523	2523
Thu Nov 23 12:18:10 2023	1700738290	0	2523	2523	2523
Thu Nov 23 12:18:10 2023	1700738290	0	2523	2523	2523
Thu Nov 23 12:17:36 2023	1700738256	0	2578	2578	2578
Thu Nov 23 12:17:36 2023	1700738256	0	2578	2578	2578
Thu Nov 23 12:17:36 2023	1700738256	0	2578	2578	2578
Thu Nov 23 12:17:36 2023	1700738256	0	2579	2579	2579
Thu Nov 23 12:17:36 2023	1700738256	0	2579	2579	2579
Thu Nov 23 12:17:36 2023	1700738256	0	2579	2579	2579
Thu Nov 23 12:17:36 2023	1700738256	0	2579	2579	2579
Thu Nov 23 12:17:36 2023	1700738256	0	2579	2579	2579
Thu Nov 23 12:17:36 2023	1700738256	0	2579	2579	2579
Thu Nov 23 12:17:36 2023	1700738256	0	2579	2579	2579
Thu Nov 23 12:17:36 2023	1700738256	0	2579	2579	2579
Thu Nov 23 12:17:36 2023	1700738256	0	2579	2579	2579
Thu Nov 23 12:17:36 2023	1700738256	0	2580	2580	2580
Thu Nov 23 12:17:36 2023	1700738256	0	2580	2580	2580
Thu Nov 23 12:17:37 2023	1700738257	0	2582	2582	2582
Thu Nov 23 12:17:37 2023	1700738257	0	2582	2582	2582
Thu Nov 23 12:17:47 2023	1700738267	0	2588	2588	2588
Thu Nov 23 12:17:47 2023	1700738267	0	2588	2588	2588
Thu Nov 23 12:17:52 2023	1700738272	0	2589	2589	2589
Thu Nov 23 12:17:52 2023	1700738272	0	2589	2589	2589
Thu Nov 23 12:17:52 2023	1700738272	0	2589	2589	2589
Thu Nov 23 12:17:52 2023	1700738272	0	2589	2589	2589
Thu Nov 23 12:17:52 2023	1700738272	0	2589	2589	2589
Thu Nov 23 12:17:52 2023	1700738272	0	2589	2589	2589
Thu Nov 23 12:17:52 2023	1700738272	0	2589	2589	2589
Thu Nov 23 12:17:52 2023	1700738272	0	2589	2589	2589
Thu Nov 23 12:17:52 2023	1700738272	0	2590	2590	2590
Thu Nov 23 12:17:52 2023	1700738272	0	2590	2590	2590
Thu Nov 23 12:17:47 2023	1700738267	0	2590	2590	2590
Thu Nov 23 12:17:52 2023	1700738272	0	2590	2590	2590
