starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:07:29 2023	1700737649	0	249	249	248
Thu Nov 23 12:07:29 2023	1700737649	1	253	255	253
Thu Nov 23 12:07:29 2023	1700737649	1	502	504	502
Thu Nov 23 12:07:29 2023	1700737649	1	750	751	750
Thu Nov 23 12:07:29 2023	1700737649	1	1000	1001	1000
Thu Nov 23 12:07:29 2023	1700737649	1	1243	1245	1243
Thu Nov 23 12:07:29 2023	1700737649	1	1491	1493	1491
Thu Nov 23 12:07:29 2023	1700737649	1	1734	1735	1734
Thu Nov 23 12:07:29 2023	1700737649	1	1982	1984	1982
Thu Nov 23 12:07:29 2023	1700737649	1	2227	2229	2227
Thu Nov 23 12:07:29 2023	1700737649	1	2474	2476	2474
Thu Nov 23 12:07:29 2023	1700737649	1	2719	2721	2719
Thu Nov 23 12:07:29 2023	1700737649	1	2969	2970	2969
Thu Nov 23 12:07:29 2023	1700737649	1	3214	3215	3214
Thu Nov 23 12:07:29 2023	1700737649	1	3462	3464	3462
Thu Nov 23 12:07:29 2023	1700737649	1	3707	3709	3707
Thu Nov 23 12:07:29 2023	1700737649	1	3956	3957	3955
Thu Nov 23 12:07:29 2023	1700737649	1	4199	4201	4199
Thu Nov 23 12:07:29 2023	1700737649	1	4450	4451	4450
Thu Nov 23 12:07:29 2023	1700737649	2	4693	4694	4692
Thu Nov 23 12:07:29 2023	1700737649	2	4945	4947	4945
Thu Nov 23 12:07:29 2023	1700737649	2	5188	5190	5188
Thu Nov 23 12:07:29 2023	1700737649	2	5434	5435	5433
Thu Nov 23 12:07:29 2023	1700737649	2	5671	5672	5670
Thu Nov 23 12:07:29 2023	1700737649	2	5916	5917	5916
Thu Nov 23 12:07:29 2023	1700737649	2	6157	6159	6157
Thu Nov 23 12:07:29 2023	1700737649	2	6408	6409	6407
Thu Nov 23 12:07:29 2023	1700737649	2	6651	6652	6651
Thu Nov 23 12:07:29 2023	1700737649	2	6899	6901	6899
Thu Nov 23 12:07:29 2023	1700737649	2	7143	7145	7143
Thu Nov 23 12:07:29 2023	1700737649	2	7395	7396	7395
Thu Nov 23 12:07:29 2023	1700737649	2	7639	7641	7639
Thu Nov 23 12:07:29 2023	1700737649	2	7888	7889	7887
Thu Nov 23 12:07:29 2023	1700737649	2	8132	8134	8132
Thu Nov 23 12:07:29 2023	1700737649	2	8382	8384	8382
Thu Nov 23 12:07:29 2023	1700737649	1	8626	8627	8625
Thu Nov 23 12:07:29 2023	1700737649	1	8876	8877	8876
Thu Nov 23 12:07:29 2023	1700737649	1	9117	9119	9117
Thu Nov 23 12:07:29 2023	1700737649	1	9369	9370	9368
Thu Nov 23 12:07:29 2023	1700737649	1	9612	9613	9612
Thu Nov 23 12:07:29 2023	1700737649	1	9861	9863	9861
Thu Nov 23 12:07:29 2023	1700737649	2	10104	10106	10104
Thu Nov 23 12:07:29 2023	1700737649	2	10354	10355	10353
Thu Nov 23 12:07:29 2023	1700737649	2	10598	10599	10598
Thu Nov 23 12:07:29 2023	1700737649	2	10847	10849	10847
Thu Nov 23 12:07:29 2023	1700737649	2	11092	11093	11091
Thu Nov 23 12:07:29 2023	1700737649	2	11338	11340	11338
Thu Nov 23 12:07:29 2023	1700737649	2	11585	11587	11585
Thu Nov 23 12:07:29 2023	1700737649	2	11828	11829	11828
Thu Nov 23 12:07:29 2023	1700737649	2	12075	12076	12075
Thu Nov 23 12:07:29 2023	1700737649	2	12318	12319	12318
Thu Nov 23 12:07:29 2023	1700737649	2	12568	12569	12568
Thu Nov 23 12:07:29 2023	1700737649	2	12810	12811	12810
Thu Nov 23 12:07:29 2023	1700737649	2	13060	13061	13060
Thu Nov 23 12:07:29 2023	1700737649	2	13303	13304	13302
Thu Nov 23 12:07:29 2023	1700737649	2	13551	13553	13551
Thu Nov 23 12:07:29 2023	1700737649	2	13794	13796	13794
Thu Nov 23 12:07:29 2023	1700737649	2	14042	14043	14041
Thu Nov 23 12:07:29 2023	1700737649	2	14286	14287	14286
Thu Nov 23 12:07:29 2023	1700737649	2	14536	14537	14536
Thu Nov 23 12:07:29 2023	1700737649	2	14780	14782	14780
Thu Nov 23 12:07:29 2023	1700737649	2	15030	15032	15030
Thu Nov 23 12:07:29 2023	1700737649	2	15273	15275	15273
Thu Nov 23 12:07:29 2023	1700737649	2	15519	15520	15519
Thu Nov 23 12:07:30 2023	1700737650	0	15522	15522	15522
Thu Nov 23 12:07:37 2023	1700737657	0	15726	15726	15726
Thu Nov 23 12:07:37 2023	1700737657	0	15727	15727	15727
Thu Nov 23 12:07:34 2023	1700737654	0	15728	15728	15728
Thu Nov 23 12:07:35 2023	1700737655	0	15731	15731	15731
Thu Nov 23 12:07:36 2023	1700737656	0	15732	15732	15732
Thu Nov 23 12:07:36 2023	1700737656	0	15733	15733	15733
Thu Nov 23 12:07:34 2023	1700737654	0	15733	15733	15733
Thu Nov 23 12:07:34 2023	1700737654	0	15735	15735	15735
Thu Nov 23 12:07:36 2023	1700737656	0	15736	15736	15736
Thu Nov 23 12:07:36 2023	1700737656	0	15737	15737	15737
Thu Nov 23 12:07:34 2023	1700737654	0	15738	15738	15738
Thu Nov 23 12:07:35 2023	1700737655	0	15739	15739	15739
Thu Nov 23 12:07:33 2023	1700737653	0	15741	15741	15741
Thu Nov 23 12:07:35 2023	1700737655	0	15743	15743	15743
Thu Nov 23 12:07:33 2023	1700737653	0	15743	15743	15743
Thu Nov 23 12:07:33 2023	1700737653	0	15744	15744	15744
Thu Nov 23 12:07:35 2023	1700737655	0	15746	15746	15746
Thu Nov 23 12:07:33 2023	1700737653	0	15746	15746	15746
Thu Nov 23 12:07:32 2023	1700737652	0	15746	15746	15746
Thu Nov 23 12:07:39 2023	1700737659	0	15747	15747	15747
Thu Nov 23 12:07:39 2023	1700737659	0	15747	15747	15747
Thu Nov 23 12:07:39 2023	1700737659	0	15748	15748	15747
Thu Nov 23 12:07:38 2023	1700737658	0	15748	15748	15748
Thu Nov 23 12:07:38 2023	1700737658	0	15748	15748	15748
Thu Nov 23 12:07:39 2023	1700737659	0	15748	15748	15748
Thu Nov 23 12:07:38 2023	1700737658	0	15748	15748	15748
Thu Nov 23 12:07:37 2023	1700737657	0	15749	15749	15749
Thu Nov 23 12:07:39 2023	1700737659	0	15749	15749	15749
Thu Nov 23 12:07:40 2023	1700737660	0	15749	15749	15749
Thu Nov 23 12:07:40 2023	1700737660	0	15750	15750	15749
Thu Nov 23 12:07:41 2023	1700737661	0	15750	15750	15750
Thu Nov 23 12:07:32 2023	1700737652	0	15750	15750	15750
Thu Nov 23 12:07:40 2023	1700737660	0	15750	15750	15750
