starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:05:23 2023	1700737523	0	244	244	243
Thu Nov 23 12:05:24 2023	1700737524	0	251	252	251
Thu Nov 23 12:05:24 2023	1700737524	0	494	495	494
Thu Nov 23 12:05:24 2023	1700737524	0	744	744	743
Thu Nov 23 12:05:24 2023	1700737524	0	979	979	979
Thu Nov 23 12:05:24 2023	1700737524	0	1223	1223	1223
Thu Nov 23 12:05:24 2023	1700737524	0	1458	1459	1458
Thu Nov 23 12:05:24 2023	1700737524	0	1701	1701	1701
Thu Nov 23 12:05:24 2023	1700737524	0	1938	1939	1938
Thu Nov 23 12:05:24 2023	1700737524	0	2179	2180	2179
Thu Nov 23 12:05:24 2023	1700737524	0	2419	2419	2419
Thu Nov 23 12:05:24 2023	1700737524	0	2669	2669	2669
Thu Nov 23 12:05:24 2023	1700737524	0	2913	2914	2913
Thu Nov 23 12:05:24 2023	1700737524	0	3164	3165	3164
Thu Nov 23 12:05:24 2023	1700737524	0	3409	3409	3408
Thu Nov 23 12:05:34 2023	1700737534	0	3637	3637	3637
Thu Nov 23 12:06:02 2023	1700737562	0	3640	3640	3640
Thu Nov 23 12:05:31 2023	1700737531	0	3647	3647	3647
Thu Nov 23 12:05:41 2023	1700737541	0	3655	3655	3655
Thu Nov 23 12:05:24 2023	1700737524	0	3655	3655	3655
Thu Nov 23 12:05:24 2023	1700737524	0	3655	3656	3655
Thu Nov 23 12:06:12 2023	1700737572	0	3656	3656	3656
Thu Nov 23 12:05:52 2023	1700737552	0	3657	3657	3657
Thu Nov 23 12:05:28 2023	1700737528	0	3658	3658	3658
Thu Nov 23 12:05:45 2023	1700737545	0	3661	3661	3661
Thu Nov 23 12:06:09 2023	1700737569	0	3663	3663	3663
Thu Nov 23 12:06:05 2023	1700737565	0	3664	3664	3664
Thu Nov 23 12:05:55 2023	1700737555	0	3674	3674	3674
Thu Nov 23 12:05:59 2023	1700737559	0	3675	3675	3674
Thu Nov 23 12:06:19 2023	1700737579	0	3685	3685	3685
Thu Nov 23 12:05:38 2023	1700737538	0	3699	3699	3699
Thu Nov 23 12:06:11 2023	1700737571	0	3872	3872	3872
Thu Nov 23 12:06:11 2023	1700737571	0	3873	3873	3873
Thu Nov 23 12:06:04 2023	1700737564	0	3874	3874	3874
Thu Nov 23 12:06:03 2023	1700737563	0	3875	3875	3875
Thu Nov 23 12:06:02 2023	1700737562	0	3876	3876	3876
Thu Nov 23 12:05:34 2023	1700737534	0	3876	3876	3876
Thu Nov 23 12:06:03 2023	1700737563	0	3877	3877	3876
Thu Nov 23 12:06:11 2023	1700737571	0	3877	3877	3877
Thu Nov 23 12:05:43 2023	1700737543	0	3877	3877	3877
Thu Nov 23 12:06:04 2023	1700737564	0	3877	3877	3877
Thu Nov 23 12:05:30 2023	1700737530	0	3877	3878	3877
Thu Nov 23 12:06:12 2023	1700737572	0	3878	3878	3878
Thu Nov 23 12:06:03 2023	1700737563	0	3879	3879	3878
Thu Nov 23 12:05:30 2023	1700737530	0	3879	3879	3879
Thu Nov 23 12:05:36 2023	1700737536	0	3879	3879	3879
Thu Nov 23 12:06:04 2023	1700737564	0	3879	3879	3879
Thu Nov 23 12:05:43 2023	1700737543	0	3879	3879	3879
Thu Nov 23 12:05:44 2023	1700737544	0	3879	3879	3879
Thu Nov 23 12:06:03 2023	1700737563	0	3880	3880	3880
Thu Nov 23 12:06:02 2023	1700737562	0	3880	3880	3880
Thu Nov 23 12:05:35 2023	1700737535	0	3881	3881	3880
Thu Nov 23 12:05:30 2023	1700737530	0	3881	3881	3880
Thu Nov 23 12:05:31 2023	1700737531	0	3881	3881	3880
Thu Nov 23 12:06:10 2023	1700737570	0	3881	3881	3880
Thu Nov 23 12:06:10 2023	1700737570	0	3881	3881	3881
Thu Nov 23 12:05:35 2023	1700737535	0	3882	3882	3882
Thu Nov 23 12:06:11 2023	1700737571	0	3882	3882	3882
Thu Nov 23 12:06:04 2023	1700737564	0	3882	3882	3882
Thu Nov 23 12:06:04 2023	1700737564	0	3882	3882	3882
Thu Nov 23 12:05:30 2023	1700737530	0	3882	3883	3882
Thu Nov 23 12:05:29 2023	1700737529	0	3884	3884	3884
Thu Nov 23 12:05:43 2023	1700737543	0	3884	3884	3884
Thu Nov 23 12:05:44 2023	1700737544	0	3885	3885	3885
